Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Chase Burns","CIN",1,0,0,2,2,10.1,12.193548762215299,4.354838843648321,0,0.37037037037037035,0.86666667,0.259259259,0,97.53924560546875,1.7419355374593284,2.783100559305472,1.8349994672324719,3.5649095797721975,0.5730100607473791,"Chase Burns",35333,695505
"Logan Gilbert","SEA",1,0,0,2,2,13,10.384615384615385,2.076923076923077,0,0.1724137931034483,0.77777778,0.206896551,0,95.69615760216347,1.3846153846153846,3.2963745637514372,1.7084486374488246,3.7710337081780803,0.5523909749598167,"Logan Gilbert",22250,669302
"Jacob deGrom","TEX",1,0,0,2,2,12,8.25,1.5,0,0.2727272727272727,0.81818182,0.454545454,0,97.09431185787672,1.5,2.176801524589951,1.7597306887308763,3.2493754620353386,0.5405091174876568,"Jacob deGrom",10954,594798
"Sandy Alcantara","MIA",3,0,0,3,3,21,8.571428571428571,1.2857142857142858,0.8571428571428571,0.2807017543859649,0.72916667,0.474576271,0.111111111,98.14665876116071,2.5714285714285716,3.183948757478631,2.997825926826114,3.0365690658489863,0.5111278715843511,"Sandy Alcantara",18684,645261
"Shota Imanaga","CHC",0,0,0,2,2,10.2,8.43750050291422,2.531250150874266,0,0.25,0.9,0.392857142,0,91.69979710254854,0.843750050291422,1.9300106185272887,2.0618139605969157,3.7376644304529076,0.5013344114369608,"Shota Imanaga",33829,684007
"Spencer Arrighetti","HOU",0,1,0,2,2,12,10.5,3.75,0,0.375,0.61111111,0.5,0,92.2580322265625,5.25,2.8403944721152254,2.259730688730876,3.6252383975933,0.49560246775339956,"Spencer Arrighetti",29921,681293
"Jake Bennett","BOS",0,2,0,2,2,10.1,7.838709918566978,0.8709677687296642,0,0.3125,0.5,0.4,0,93.30527524594908,5.225806612377985,1.8127171041905792,1.93177366375799,3.805842952342693,0.48202026682097837,"Jake Bennett",31959,687562
"Jacob Latz","TEX",0,0,4,4,0,6.1,12.789474326157537,2.8421054058127857,0,0.18181818181818182,1,0.454545454,0,95.96463826497396,0,1.2653833940988148,1.1983270848556857,2.1391554099555465,0.45976844877340317,"Jacob Latz",21306,656641
"Joe Ryan","MIN",1,0,0,3,3,17,10.588235294117647,2.1176470588235294,1.0588235294117647,0.29545454545454547,0.92592593,0.369565217,0.1,93.83904351128473,2.1176470588235294,2.8826208669353632,2.9754169632406797,3.1985284612459295,0.4553632064270474,"Joe Ryan",21390,657746
"Stephen Kolek","KCR",1,0,0,2,2,12.1,5.1081082397695035,1.459459497077001,0,0.325,0.86666667,0.425,0,94.2338212176067,0.7297297485385005,4.050108951314892,2.4444153566966538,4.014581509569658,0.44189860852433077,"Stephen Kolek",21487,663568
"Griffin Jax","TBR",0,1,0,2,2,10,8.1,1.8,0,0.3076923076923077,0.9,0.538461538,0,96.3010025024414,0,3.9507073701375077,1.8930640220642092,2.786850886046887,0.42172434986072665,"Griffin Jax",20253,643377
"Bubba Chandler","PIT",0,1,0,2,1,11,10.636364558511609,2.454545667348833,0,0.16,0.375,0.36,0,98.0993454391892,3.2727275564651106,2.444965987148578,1.820336638994444,3.17455927758826,0.4211916037520486,"Bubba Chandler",29868,696149
"Braxton Ashcraft","PIT",1,1,0,3,3,16,9,2.8125,0.5625,0.3469387755102041,0.61946903,0.44,0.058823529,97.4951767339939,5.0625,3.6634491648985223,3.030564022064209,3.8008115937002005,0.4119628370451993,"Braxton Ashcraft",23793,677952
"Tanner Scott","LAD",0,0,3,5,0,5,14.400002918243999,0,0,0.3,0.66666667,0.333333333,0,97.33800862630208,1.8000003647804999,0.8001119398558374,-0.10693662643445734,1.0847794337172747,0.38596670341671246,"Tanner Scott",17586,656945
"Michael Soroka","ARI",1,0,0,2,2,14,8.357142857142858,1.2857142857142858,0.6428571428571429,0.125,0.90909091,0.363636363,0.0625,94.21826171875,1.2857142857142858,2.286823826690819,2.8073497363499236,3.581229477269309,0.38461669836549256,"Michael Soroka",18383,647336
"Shane Baz","BAL",1,2,0,3,3,17.2,6.622641747767673,2.5471699029875667,0.5094339805975133,0.29310344827586204,0.57522124,0.423728813,0.052631578,95.50438096788194,3.05660388358508,6.141398429602919,3.3760829001739388,4.242304668674717,0.36793264484955446,"Shane Baz",22264,669358
