Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Jonathan Aranda","TBR",52,37,89.91111161973741,105,108,10.63888888888889,0,0,14,0.37837838,0.34090909,0.26379069893859153,0.545454545,0.37451163176880325,0.43205437751916737,0.34194094059514063,"Jonathan Aranda",21837,666018
"Luke Raley","SEA",17,9,93.53333197699652,105.1,105.1,18.444444444444443,2,0.22222222,5,0.55555556,0.2,0.26233333349227905,0.266666666,0.42686666051546734,0.26148917394525867,0.3418964743614197,"Luke Raley",19354,670042
"Corey Seager","TEX",15,5,87.77999877929688,101.5,101.5,8,1,0.2,2,0.4,0.1,0.13699999898672105,0.4,0.24379999488592147,0.3699455499649048,0.34087333679199217,"Corey Seager",13624,608369
"Colson Montgomery","CHW",51,27,87.30384591909555,107.2,108.3,31.307692307692307,5,0.18518519,9,0.33333333,0.212765957,0.23228260791739044,0.44680851,0.5221956455675156,0.31250861228681076,0.340303261745341,"Colson Montgomery",29712,695657
"Nathan Church","STL",28,22,88.85909236561169,102.6,109.7,6.5,2,0.09090909,8,0.36363636,0.28,0.28099999837111683,0.4,0.41035999468993395,0.3363331747906549,0.3402449999536787,"Nathan Church",31357,701675
"Lawrence Butler","ATH",39,21,84.31428673153832,105.2,109.7,-0.14285714285714285,2,0.0952381,7,0.33333333,0.272727272,0.2543636370788921,0.424242424,0.3848484815521674,0.36216774047949374,0.340018467261241,"Lawrence Butler",22542,671732
"Blake Dunn","CIN",34,23,90.89500198364257,98.9,105.7,18.4,0,0,7,0.30434783,0.344827586,0.2972962900444313,0.413793103,0.37088889104348643,0.36728768313632293,0.33945293352007866,"Blake Dunn",29487,694362
"Michael Conforto","CHC",19,16,87.14999961853027,101.6,103.7,23.75,1,0.0625,4,0.25,0.263157894,0.3244736887649388,0.47368421,0.46399999517138657,0.3152565799261394,0.338842101787266,"Michael Conforto",16376,624424
"Brett Baty","NYM",38,20,85.95000114440919,99.1,111,9.65,3,0.15,6,0.3,0.068965517,0.1967931093672162,0.068965517,0.32762068875760225,0.21421364420338682,0.33796337560603495,"Brett Baty",26123,683146
"Jared Triolo","PIT",40,28,87.90000098092216,103.6,106.5,2.392857142857143,1,0.03571429,12,0.42857143,0.277777777,0.2855277732014656,0.444444444,0.3971388902929094,0.3504986837506294,0.3376123525202274,"Jared Triolo",25807,669707
"Gavin Sheets","SDP",36,23,88.83043537969175,104.3,106.5,11.869565217391305,2,0.08695652,9,0.39130435,0.242424242,0.2616666643456979,0.424242424,0.44957576579216757,0.32087364461686874,0.33716278543902767,"Gavin Sheets",19901,657757
"Iván Herrera","STL",47,28,87.65714182172503,104.6,108.3,12.892857142857142,1,0.03571429,11,0.39285714,0.2,0.19957143178741846,0.285714285,0.28180000551843215,0.3400104908232993,0.3367132715722348,"Ivan Herrera",20599,671056
"Kazuma Okamoto","TOR",53,29,90.5034487494107,107.3,111.7,16.413793103448278,4,0.13793103,14,0.48275862,0.239130434,0.20828260708114374,0.54347826,0.4535652207939521,0.3801921189955945,0.33583713280704786,"Kazuma Okamoto",37123,672960
"Sal Stewart","CIN",51,34,92.50312542915344,106.9,108.2,18.25,6,0.17647059,15,0.44117647,0.291666666,0.23680434751567309,0.520833333,0.5090217283198043,0.35412117429808077,0.33580082395513144,"Sal Stewart",31505,701398
"Taylor Walls","TBR",39,27,90.15200073242187,99.8,102.3,22.6,2,0.07407407,9,0.33333333,0.264705882,0.27352941649801593,0.352941176,0.43220588038949403,0.30607803356953156,0.3356533333277091,"Taylor Walls",22458,670764
"JJ Wetherholt","STL",51,41,88.28205128205128,101,105,3.2564102564102564,1,0.02439024,16,0.3902439,0.340425531,0.29858695553696674,0.489361702,0.398934793861016,0.38796090144737094,0.3346498775482178,"JJ Wetherholt",34985,802139
"Nick Kurtz","ATH",56,25,93.44399841308594,109.3,109.9,12.4,5,0.2,15,0.6,0.204081632,0.23363265455985555,0.306122448,0.43553061144692556,0.28063457033463884,0.3346310704946518,"Nick Kurtz",35110,701762
"Starling Marte","KCR",24,17,81.76249980926514,100.4,102,16.1875,2,0.11764706,4,0.23529412,0.3,0.2736499965190887,0.35,0.4127000063657761,0.3258080656329791,0.3345358371734619,"Starling Marte",9241,516782
"Brandon Lowe","PIT",57,37,95.40270315634238,107.4,111,21.054054054054053,7,0.18918919,22,0.59459459,0.24,0.24719999998807907,0.48,0.4511800028756261,0.30514660634492574,0.3336466691995922,"Brandon Lowe",18882,664040
"Wilyer Abreu","BOS",56,38,90.384210084614,105.8,107.3,17.526315789473685,4,0.10526316,14,0.36842105,0.2,0.20739999992979896,0.444444444,0.41477776385015913,0.3349869056181474,0.33328327333385294,"Wilyer Abreu",23772,677800
"Colton Cowser","BAL",38,22,85.87618982224237,104.7,107.7,14.380952380952381,2,0.09090909,10,0.45454545,0.272727272,0.24163635896349495,0.363636363,0.40824242579666054,0.33372414425799724,0.33292368179383247,"Colton Cowser",29591,681297
"Nolan Schanuel","LAA",50,38,88.68947320235402,102.2,103.6,18.236842105263158,0,0,16,0.42105263,0.279069767,0.2726511664168779,0.465116279,0.3583953463753989,0.3731799912452698,0.3328667998313904,"Nolan Schanuel",33189,694384
"Tyler O'Neill","BAL",19,9,95.73333231608073,108.8,108.8,21.11111111111111,1,0.11111111,6,0.66666667,0.125,0.22106249909847975,0.1875,0.3960625007748604,0.22385402415928088,0.3322031646966934,"Tyler O'Neill",15711,641933
"Otto Lopez","MIA",52,44,86.97500159523703,99.8,106.4,11.25,3,0.06818182,13,0.29545455,0.29787234,0.2816808492420836,0.553191489,0.43574468973786273,0.38064792179144347,0.3321438447500651,"Otto Lopez",19608,672640
"Joey Meneses","ATH",15,10,93.06000061035157,103,106.5,18.8,0,0,6,0.6,0.09090909,0.2535454665988006,0.09090909,0.2916363655081527,0.19932657480239868,0.33072399953380227,"Joey Meneses",14366,608841
"Edgar Quero","CHW",17,15,92.98666483561198,106.1,106.1,8.066666666666666,1,0.06666667,7,0.46666667,0.235294117,0.30005882023011937,0.235294117,0.4699411606963943,0.20977453624500947,0.33047058959217634,"Edgar Quero",28022,700337
"Ryan O'Hearn","PIT",54,42,87.59523736862909,102.1,106,19.976190476190474,3,0.07142857,15,0.35714286,0.339622641,0.29352830378514416,0.603773584,0.45937735545185376,0.40902360721870706,0.3298262975834034,"Ryan O'Hearn",16442,656811
"Tommy Troy","ARI",37,25,85.94583129882812,106.2,109.9,16.166666666666668,4,0.16,10,0.4,0.257142857,0.26911428230149403,0.428571428,0.45888571313449317,0.31517135774767074,0.3297902692008663,"Tommy Troy",33279,694371
"Troy Johnston","COL",27,18,87.24444410536024,103.3,104,19.38888888888889,0,0,5,0.27777778,0.272727272,0.25936363967643544,0.318181818,0.30168181928721344,0.3414184495254799,0.32889259744573524,"Troy Johnston",26143,687859
"Curtis Mead","WSN",48,33,84.04687595367432,106,108.3,18.303030303030305,4,0.12121212,13,0.39393939,0.2,0.23686363361775875,0.488888888,0.47399999971755524,0.31596919521689415,0.3274866783238472,"Curtis Mead",23986,678554
"Austin Martin","MIN",18,14,86.93076735276442,98.8,103.3,13.153846153846153,0,0,4,0.28571429,0.3125,0.2900624992325902,0.3125,0.34924999345093966,0.32536741428905064,0.3272911078400082,"Austin Martin",27462,668885
"Derek Hill","PHI",26,16,89.22666625976562,108.5,109.8,10.266666666666667,3,0.1875,6,0.375,0.333333333,0.2644999995827675,0.625,0.47316666692495346,0.42097330808639527,0.32682480216026305,"Derek Hill",16947,656537
"Willson Contreras","BOS",57,32,90.2531247138977,104.5,114.4,17,4,0.125,17,0.53125,0.2,0.22860000059008598,0.38,0.41571999963372946,0.3031348115519473,0.32681322855907574,"Willson Contreras",11609,575929
"Andrés Giménez","TOR",39,30,88.18571553911481,104.4,106.4,26.178571428571427,2,0.06666667,9,0.3,0.371428571,0.28742857703140806,0.571428571,0.44094286177839553,0.41230142587109614,0.3267172080905814,"Andres Gimenez",19950,665926
"Max Kepler","ARI",9,7,85.45714242117745,102.6,102.6,19,1,0.14285714,4,0.57142857,0,0.23866666687859428,0,0.5438889000150893,0,0.3262222210566203,"Max Kepler",12144,596146
"Zach McKinstry","DET",42,33,83.64242368755919,97.8,104.8,10.93939393939394,0,0,6,0.18181818,0.289473684,0.28992105557240155,0.47368421,0.3721315771292307,0.3622646289212363,0.32579714343661353,"Zach McKinstry",19392,656716
"Nick Loftin","KCR",44,34,90.94848424738103,103.8,106.5,14.636363636363637,3,0.08823529,11,0.32352941,0.243902439,0.2627560943365097,0.463414634,0.428682928041714,0.3291107985106381,0.3245880505578084,"Nick Loftin",27630,679845
"Carlos Narváez","BOS",21,10,98.77777608235677,108.6,110.1,21.333333333333332,2,0.2,5,0.5,0.125,0.21337499748915434,0.1875,0.4463749974966049,0.17923781871795655,0.32456270456314085,"Carlos Narvaez",19722,665966
"Lane Thomas","KCR",50,35,89.21428549630302,103,107.3,11.82857142857143,2,0.05714286,15,0.42857143,0.195652173,0.2742391309660414,0.391304347,0.4019347834198371,0.2851560688018799,0.3235896021127701,"Lane Thomas",16939,657041
"Henry Davis","PIT",16,12,91.67272741144353,102,103.5,16,2,0.16666667,6,0.5,0.266666666,0.21460000276565552,0.6,0.48553332686424255,0.38753461092710495,0.32335213012993336,"Henry Davis",29617,680779
"Anthony Seigler","BOS",36,27,90.97407418710215,101.5,103.1,8.74074074074074,0,0,13,0.48148148,0.363636363,0.27387878569689666,0.545454545,0.39763637022538617,0.4186832341882918,0.3231905558043056,"Anthony Seigler",23802,678011
"Garrett Mitchell","MIL",36,22,93.70000110973011,109.1,111.8,7.363636363636363,2,0.09090909,11,0.5,0.21875,0.2234375039115548,0.40625,0.43009375501424074,0.31553782522678375,0.3230688909275664,"Garrett Mitchell",27555,669003
"Joey Bart","ATL",14,14,84.86428615025112,98,106.4,20,1,0.07142857,4,0.28571429,0.142857142,0.23121428276811326,0.357142857,0.5329285902636391,0.21024740168026515,0.3225714351449694,"Joey Bart",21524,663698
"Luis Arraez","SFG",43,39,86.53783808527766,97.6,101.2,18.783783783783782,0,0,9,0.23076923,0.378378378,0.27832432373149973,0.567567567,0.38475676323916463,0.4268313887573424,0.3213923814750853,"Luis Arraez",18568,650333
