Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Adley Rutschman","BAL",26,19,91.3526322214227,102,103.4,20.894736842105264,0,0,6,0.31578947,0.260869565,0.21173913400296285,0.391304347,0.2923043450421613,0.27508316131738514,0.2329406927411373,"Adley Rutschman",26288,668939
"CJ Abrams","WSN",45,27,88.18147927743418,104.3,108.1,31.555555555555557,2,0.07407407,9,0.33333333,0.195121951,0.1681951195365045,0.365853658,0.302073164865738,0.26505941417482165,0.2322268875522746,"CJ Abrams",25768,682928
"Christian Koss","SFG",5,5,87.88000183105468,107.6,107.6,7.6,0,0,1,0.2,0.2,0.24660000381991268,0.2,0.28259999845176936,0.17811839580535888,0.2318000036291778,"Christian Koss",27653,683766
"J.P. Crawford","SEA",54,34,87.71176461612477,100.8,106.6,5.029411764705882,0,0,14,0.41176471,0.18,0.20057999968528747,0.22,0.24772000044584275,0.2139453865863659,0.2317931839713344,"J.P. Crawford",15491,641487
"Matt Chapman","SFG",31,16,88.5437502861023,104.4,112.1,23.125,1,0.0625,4,0.25,0.148148148,0.15499999732882888,0.185185185,0.2114814837221746,0.21711029544953378,0.23034942606764455,"Matt Chapman",16505,656305
"Cody Bellinger","NYY",50,31,88.35483870967742,103,107.3,16.29032258064516,0,0,13,0.41935484,0.088888888,0.17242222395208145,0.133333333,0.23975555213789146,0.15599371671676635,0.23026579894125462,"Cody Bellinger",15998,641355
"TJ Friedl","CIN",21,15,86.63571194240025,100.5,102.9,24.785714285714285,1,0.06666667,5,0.33333333,0.166666666,0.1595000055515104,0.444444444,0.25755555037822986,0.2962589919567108,0.22989580035209656,"TJ Friedl",19522,670770
"Adrian Del Castillo","ARI",14,10,88.74000244140625,102.5,107.8,17.4,1,0.1,2,0.2,0.142857142,0.17049999588302203,0.357142857,0.3764285791133131,0.20950154747281755,0.22928571115647042,"Adrian Del Castillo",29554,680728
"Corbin Carroll","ARI",52,29,88.03103374612742,104.6,112,18.517241379310345,1,0.03448276,8,0.27586207,0.152173913,0.17565217436007832,0.239130434,0.23686956387499106,0.2190948677997963,0.22877039526607476,"Corbin Carroll",25878,682998
"Rhys Hoskins","CLE",27,10,86.85999908447266,97.7,99.4,31.9,0,0,4,0.4,0.19047619,0.09295238004553885,0.238095238,0.1265714294498875,0.3010966247982449,0.22862029958654334,"Rhys Hoskins",16472,656555
"Ryan Ward","LAD",5,5,81.76000213623047,106.1,106.1,31.2,1,0.2,1,0.2,0.2,0.1871999979019165,0.2,0.34079999923706056,0.17811839580535888,0.22679999470710754,"Ryan Ward",27449,669899
"Dominic Smith","ATL",33,25,85.21199981689453,103.8,107.3,2.84,0,0,10,0.4,0.225806451,0.19135483835012682,0.258064516,0.26132258123928503,0.24251531470905652,0.22599745654698575,"Dominic Smith",15653,642086
"Ezequiel Tovar","COL",45,38,84.0861119164361,98,106.1,22.583333333333332,2,0.05263158,8,0.21052632,0.2,0.19060000120662152,0.475,0.30922500165179373,0.2826396067937215,0.22493146620690824,"Ezequiel Tovar",24064,678662
"David Hamilton","MIL",28,18,91.16250038146973,98.8,104.6,4,0,0,5,0.27777778,0.291666666,0.18604166619479656,0.416666666,0.23704166213671365,0.3348223796257606,0.2235352276609494,"David Hamilton",27531,666152
"Carlos Cortes","ATH",15,11,92.1181807084517,105.7,107.5,17.09090909090909,1,0.09090909,5,0.45454545,0.333333333,0.21286667188008626,0.466666666,0.30306665698687235,0.3461535692214966,0.22233333786328632,"Carlos Cortes",21842,666126
"Drew Millas","WSN",23,12,86.66666793823242,96.5,97,20.25,0,0,2,0.16666667,0.222222222,0.12594444553057352,0.222222222,0.16650000049008262,0.27789362358010333,0.2220725222774174,"Drew Millas",25643,686452
"Trent Grisham","NYY",15,9,94.71111212836371,107.2,107.2,20.77777777777778,0,0,5,0.55555556,0.23076923,0.19115384496175325,0.538461538,0.27907691781337446,0.3261920213699341,0.2214971979459127,"Trent Grisham",18564,663757
"Max Muncy","LAD",49,37,88.76756657780828,102,106.1,23.91891891891892,1,0.02702703,11,0.2972973,0.282608695,0.17626086800642635,0.456521739,0.29610869644776633,0.3320857311288516,0.2213524148489038,"Max Muncy",13301,571970
"José Caballero","NYY",42,27,86.1519989013672,101.6,103.7,15.84,3,0.11111111,8,0.2962963,0.2,0.1719250014750287,0.425,0.3233250005869195,0.2751181416395234,0.2207916580912907,"Jose Caballero",23401,676609
"Ozzie Albies","ATL",55,42,86.42857251848493,98.5,106.3,18.714285714285715,2,0.04761905,10,0.23809524,0.224489795,0.169061222246715,0.469387755,0.29791836896721197,0.304018568109583,0.2204513696056825,"Ozzie Albies",16556,645277
"Alex Freeland","LAD",35,20,83.20000038146972,97.6,103.5,15.9,0,0,4,0.2,0.1875,0.1637187460437417,0.21875,0.24103124858811498,0.22320023604801723,0.2200106906039374,"Alex Freeland",31665,690976
"Jimmy Crooks","STL",13,5,89.41999969482421,105.6,105.6,5.6,0,0,3,0.6,0.166666666,0.17458332981914282,0.166666666,0.23566666493813196,0.19319883218178383,0.21956107593499696,"Jimmy Crooks",31354,699625
"Jackson Merrill","SDP",53,34,87.7696963223544,100.7,106.1,10.969696969696969,3,0.08823529,13,0.38235294,0.235294117,0.18711764789095112,0.372549019,0.30354901271707874,0.2703854968914619,0.21900880623322266,"Jackson Merrill",29490,701538
"Jeremiah Jackson","BAL",14,9,92.72222306993272,106,106,-1.6666666666666667,0,0,2,0.22222222,0.142857142,0.21085713910205023,0.142857142,0.29699999732630594,0.12722742557525635,0.2165000012942723,"Jeremiah Jackson",22239,669236
"Miguel Amaya","CHC",22,10,83.9,102,103.7,31,0,0,4,0.4,0.210526315,0.13463157689885089,0.263157894,0.18094736572943235,0.27552865039218555,0.21460045399990949,"Miguel Amaya",21693,665804
"Patrick Bailey","CLE",22,16,91.95333201090494,102.1,107,6.133333333333334,1,0.0625,7,0.4375,0.15,0.18364999797195197,0.2,0.2619500044733286,0.1781448863801502,0.21449800341257028,"Patrick Bailey",27478,672275
"Coby Mayo","BAL",23,13,97.63076958289513,107.3,113,17.76923076923077,0,0,8,0.61538462,0.19047619,0.16395238183793567,0.285714285,0.22585714147204444,0.24786527260490085,0.21386591717600822,"Coby Mayo",28312,691723
