Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Tommy Pham","- - -",245,845,941,205,145,37,4,19,94,91,86,3,207,4,6,0,17,12,6,0.24260355,"Tommy Pham",2967,502054
"Manuel Margot","- - -",135,334,363,81,59,17,1,4,38,34,21,0,60,3,4,1,10,5,0,0.24251497,"Manuel Margot",14712,622534
"Zach Remillard","CHW",15,33,39,8,6,1,1,0,3,1,5,0,10,0,0,1,1,1,0,0.242424242,"Zach Remillard",19788,621545
"Kyle Isbel","KCR",327,916,1018,222,158,36,13,15,120,86,60,0,203,10,6,26,15,20,7,0.242358078,"Kyle Isbel",21614,664728
"Eloy Jiménez","- - -",110,355,384,86,66,14,0,6,27,26,25,1,77,2,2,0,14,3,0,0.242253521,"Eloy Jimenez",17484,650391
"Elias Díaz","- - -",241,673,730,163,111,33,0,19,71,84,43,2,160,6,3,5,26,0,0,0.242199108,"Elias Diaz",11680,553869
"Freddy Fermin","- - -",281,801,882,194,145,35,0,14,87,73,59,2,163,6,5,11,17,3,3,0.242197253,"Freddy Fermin",21840,666023
"Zach Dezenzo","HOU",82,223,243,54,37,12,0,5,32,21,20,0,85,0,0,0,6,2,0,0.242152466,"Zach Dezenzo",31562,701305
"Adley Rutschman","BAL",305,1140,1287,276,180,56,4,36,135,155,128,3,200,5,14,0,23,1,1,0.242105263,"Adley Rutschman",26288,668939
"Pavin Smith","ARI",175,459,535,111,63,29,1,18,67,70,69,1,141,0,6,0,12,4,2,0.241830065,"Pavin Smith",19892,656976
"Jonny DeLuca","TBR",187,567,610,137,91,27,7,12,57,63,35,1,129,4,0,4,7,31,9,0.241622574,"Jonny DeLuca",26365,676356
"Emmanuel Rivera","- - -",167,385,429,93,73,13,2,5,29,42,32,0,93,6,5,1,10,3,0,0.241558441,"Emmanuel Rivera",19890,656896
"Rikuu Nishida","CHW",12,29,30,7,7,0,0,0,3,2,0,0,5,0,0,1,0,0,0,0.24137931,"Rikuu Nishida",33795,807747
"Braden Montgomery","CHW",32,116,128,28,15,9,1,3,17,17,10,0,26,1,1,0,4,1,1,0.24137931,"Braden Montgomery",35423,695731
"Jonah Bride","- - -",116,344,397,83,60,12,0,11,37,44,41,2,94,4,8,0,10,0,1,0.241279069,"Jonah Bride",24703,681146
"Mark Vientos","NYM",305,1074,1171,259,150,52,2,55,127,167,75,0,311,11,11,0,28,1,0,0.241154562,"Mark Vientos",22184,668901
"Oswaldo Cabrera","NYY",146,415,459,100,76,15,0,9,64,47,32,0,92,3,4,5,7,4,3,0.240963855,"Oswaldo Cabrera",21707,665828
